Instruction #	Format	Opcode	Destination	Operand1	Operand2	Formula
1	I	unknown	None	NA	NA	=unknown(NA NA )
2	I	alloca	%1	NA	NA	=ALLOCATE(NA)
3	I	alloca	%2	NA	NA	=ALLOCATE(NA)
4	I	alloca	%3	NA	NA	=ALLOCATE(NA)
5	I	alloca	%4	NA	NA	=ALLOCATE(NA)
6	I	alloca	%5	NA	NA	=ALLOCATE(NA)
7	I	alloca	%6	NA	NA	=ALLOCATE(NA)
8	I	unknown	None	NA	NA	=unknown(NA NA )
9	I	unknown	None	NA	NA	=unknown(NA NA )
10	I	unknown	None	NA	NA	=unknown(NA NA )
11	I	unknown	None	NA	NA	=unknown(NA NA )
12	J	br	None	NA	NA	=BRANCH(NA)
13	I	unknown	None	NA	NA	=unknown(NA NA )
14	I	unknown	None	NA	NA	=unknown(NA NA )
15	I	unknown	None	NA	NA	=unknown(NA NA )
16	R	icmp	%11	NA	NA	=IF(NA = NA TRUE FALSE)
17	J	br	%11	NA	NA	=BRANCH(NA)
18	I	unknown	None	NA	NA	=unknown(NA NA )
19	I	unknown	None	NA	NA	=unknown(NA NA )
20	I	unknown	None	NA	NA	=unknown(NA NA )
21	J	br	None	NA	NA	=BRANCH(NA)
22	I	unknown	None	NA	NA	=unknown(NA NA )
23	I	unknown	None	NA	NA	=unknown(NA NA )
24	I	unknown	None	NA	NA	=unknown(NA NA )
25	R	icmp	%17	NA	NA	=IF(NA = NA TRUE FALSE)
26	J	br	%17	NA	NA	=BRANCH(NA)
27	I	unknown	None	NA	NA	=unknown(NA NA )
28	I	unknown	None	NA	NA	=unknown(NA NA )
29	I	unknown	None	NA	NA	=unknown(NA NA )
30	I	unknown	None	NA	NA	=unknown(NA NA )
31	I	unknown	None	NA	NA	=unknown(NA NA )
32	J	br	%22	NA	NA	=BRANCH(NA)
33	I	unknown	None	NA	NA	=unknown(NA NA )
34	I	unknown	None	NA	NA	=unknown(NA NA )
35	I	unknown	None	NA	NA	=unknown(NA NA )
36	I	unknown	None	NA	NA	=unknown(NA NA )
37	I	unknown	None	NA	NA	=unknown(NA NA )
38	R	add	%28	NA	NA	=NA + NA
39	I	unknown	None	NA	NA	=unknown(NA NA )
40	J	br	None	NA	NA	=BRANCH(NA)
41	I	unknown	None	NA	NA	=unknown(NA NA )
42	J	br	None	NA	NA	=BRANCH(NA)
43	I	unknown	None	NA	NA	=unknown(NA NA )
44	I	unknown	None	NA	NA	=unknown(NA NA )
45	I	unknown	None	NA	NA	=unknown(NA NA )
46	I	unknown	None	NA	NA	=unknown(NA NA )
47	J	br	None	NA	NA	=BRANCH(NA)
48	I	unknown	None	NA	NA	=unknown(NA NA )
49	I	unknown	None	NA	NA	=unknown(NA NA )
50	I	unknown	None	NA	NA	=unknown(NA NA )
51	I	unknown	None	NA	NA	=unknown(NA NA )
52	J	br	None	NA	NA	=BRANCH(NA)
53	I	unknown	None	NA	NA	=unknown(NA NA )
54	I	unknown	None	NA	NA	=unknown(NA NA )
55	I	unknown	None	NA	NA	=unknown(NA NA )
56	I	unknown	None	NA	NA	=unknown(NA NA )
57	J	br	None	NA	NA	=BRANCH(NA)
58	I	unknown	None	NA	NA	=unknown(NA NA )
59	J	ret	None	NA	NA	=RET(NA)
60	I	unknown	None	NA	NA	=unknown(NA NA )
61	I	unknown	None	NA	NA	=unknown(NA NA )
62	I	alloca	%3	NA	NA	=ALLOCATE(NA)
63	I	alloca	%4	NA	NA	=ALLOCATE(NA)
64	I	alloca	%5	NA	NA	=ALLOCATE(NA)
65	I	alloca	%6	NA	NA	=ALLOCATE(NA)
66	I	unknown	None	NA	NA	=unknown(NA NA )
67	I	unknown	None	NA	NA	=unknown(NA NA )
68	I	unknown	None	NA	NA	=unknown(NA NA )
69	I	unknown	None	NA	NA	=unknown(NA NA )
70	I	unknown	None	NA	NA	=unknown(NA NA )
71	R	icmp	%9	NA	NA	=IF(NA = NA TRUE FALSE)
72	J	br	%9	NA	NA	=BRANCH(NA)
73	I	unknown	None	NA	NA	=unknown(NA NA )
74	I	unknown	None	NA	NA	=unknown(NA NA )
75	J	br	None	NA	NA	=BRANCH(NA)
76	I	unknown	None	NA	NA	=unknown(NA NA )
77	I	unknown	None	NA	NA	=unknown(NA NA )
78	I	unknown	None	NA	NA	=unknown(NA NA )
79	I	unknown	None	NA	NA	=unknown(NA NA )
80	I	unknown	None	NA	NA	=unknown(NA NA )
81	I	unknown	None	NA	NA	=unknown(NA NA )
82	I	unknown	None	NA	NA	=unknown(NA NA )
83	J	br	None	NA	NA	=BRANCH(NA)
84	I	unknown	None	NA	NA	=unknown(NA NA )
85	I	unknown	None	NA	NA	=unknown(NA NA )
86	I	unknown	None	NA	NA	=unknown(NA NA )
87	R	icmp	%19	NA	NA	=IF(NA = NA TRUE FALSE)
88	J	br	%19	NA	NA	=BRANCH(NA)
89	I	unknown	None	NA	NA	=unknown(NA NA )
90	I	unknown	None	NA	NA	=unknown(NA NA )
91	I	unknown	None	NA	NA	=unknown(NA NA )
92	I	unknown	None	NA	NA	=unknown(NA NA )
93	I	unknown	None	NA	NA	=unknown(NA NA )
94	J	br	%24	NA	NA	=BRANCH(NA)
95	I	unknown	None	NA	NA	=unknown(NA NA )
96	I	unknown	None	NA	NA	=unknown(NA NA )
97	I	unknown	None	NA	NA	=unknown(NA NA )
98	I	unknown	None	NA	NA	=unknown(NA NA )
99	I	unknown	None	NA	NA	=unknown(NA NA )
100	R	add	%30	NA	NA	=NA + NA
101	I	unknown	None	NA	NA	=unknown(NA NA )
102	J	br	None	NA	NA	=BRANCH(NA)
103	I	unknown	None	NA	NA	=unknown(NA NA )
104	J	br	None	NA	NA	=BRANCH(NA)
105	I	unknown	None	NA	NA	=unknown(NA NA )
106	I	unknown	None	NA	NA	=unknown(NA NA )
107	I	unknown	None	NA	NA	=unknown(NA NA )
108	I	unknown	None	NA	NA	=unknown(NA NA )
109	J	br	None	NA	NA	=BRANCH(NA)
110	I	unknown	None	NA	NA	=unknown(NA NA )
111	J	br	None	NA	NA	=BRANCH(NA)
112	I	unknown	None	NA	NA	=unknown(NA NA )
113	I	unknown	None	NA	NA	=unknown(NA NA )
114	J	ret	None	NA	NA	=RET(NA)
115	I	unknown	None	NA	NA	=unknown(NA NA )
