Instruction #	Format	Opcode	Destination	r1	r2
1	I	define	=define(  )	NA	NA
2	I	alloca	=ALLOCATE()	NA	NA
3	I	alloca	=ALLOCATE()	NA	NA
4	I	alloca	=ALLOCATE()	NA	NA
5	I	alloca	=ALLOCATE()	NA	NA
6	I	alloca	=ALLOCATE()	NA	NA
7	I	store	=STORE(%1 )	%1	NA
8	I	call	=CALL(%5)  )	%5)	NA
9	I	store	=STORE(%4 )	%4	NA
10	J	br	=BRANCH(%7)	%7	NA
11	I	load	=LOAD(%4)	%4	NA
12	I	load	=LOAD(%5)	%5	NA
13	R	icmp	=IF(%8 = D13 TRUE FALSE)	%8	D13
14	J	br	=BRANCH(%10)	%10	%11
15	I	load	=LOAD(%4)	%4	NA
16	R	sext	=SIGN_EXTEND(D16)	D16	NA
17	I	getelementptr	=getelementptr(%2 D17 )	%2	D17
18	I	call	=CALL(%14)  )	%14)	NA
19	J	br	=BRANCH(%16)	%16	NA
20	I	load	=LOAD(%4)	%4	NA
21	R	add	=%17 + 	%17	NA
22	I	store	=STORE(%18 %4)	%18	%4
23	J	br	=BRANCH(%7)	%7	NA
24	I	store	=STORE(%4 )	%4	NA
25	J	br	=BRANCH(%20)	%20	NA
26	I	load	=LOAD(%4)	%4	NA
27	I	load	=LOAD(%5)	%5	NA
28	R	icmp	=IF(%21 = D28 TRUE FALSE)	%21	D28
29	J	br	=BRANCH(%23)	%23	%24
30	I	load	=LOAD(%4)	%4	NA
31	R	sext	=SIGN_EXTEND(D31)	D31	NA
32	I	getelementptr	=getelementptr(%2 D32 )	%2	D32
33	I	load	=LOAD(%27)	%27	NA
34	I	call	=CALL(%28)  )	%28)	NA
35	R	add	=%29 + 	%29	NA
36	I	store	=STORE(%30 %3)	%30	%3
37	I	load	=LOAD(%3)	%3	NA
38	I	call	=CALL(%31)  )	%31)	NA
39	J	br	=BRANCH(%33)	%33	NA
40	I	load	=LOAD(%4)	%4	NA
41	R	add	=%34 + 	%34	NA
42	I	store	=STORE(%35 %4)	%35	%4
43	J	br	=BRANCH(%20)	%20	NA
44	J	ret	=RET()	NA	NA
45	I	}	=}(  )	NA	NA
46	I	define	=define(%0 %1) )	%0	%1)
47	I	alloca	=ALLOCATE()	NA	NA
48	I	alloca	=ALLOCATE()	NA	NA
49	I	alloca	=ALLOCATE()	NA	NA
50	I	alloca	=ALLOCATE()	NA	NA
51	I	alloca	=ALLOCATE()	NA	NA
52	I	store	=STORE(%0 %3)	%0	%3
53	I	store	=STORE(%1 %4)	%1	%4
54	I	store	=STORE(%7 )	%7	NA
55	I	load	=LOAD(%3)	%3	NA
56	I	store	=STORE(%8 %5)	%8	%5
57	J	br	=BRANCH(D13)	D13	NA
58	I	load	=LOAD(%5)	%5	NA
59	I	load	=LOAD(%4)	%4	NA
60	I	sitofp	=sitofp(D60  )	D60	NA
61	I	call	=CALL(%12)  )	%12)	NA
62	I	fptosi	=fptosi(D62  )	D62	NA
63	R	add	=%14 + 	%14	NA
64	R	icmp	=IF(%10 = D64 TRUE FALSE)	%10	D64
65	J	br	=BRANCH(%16)	%16	%17
66	I	load	=LOAD(%7)	%7	NA
67	I	store	=STORE(%18 %6)	%18	%6
68	I	load	=LOAD(%5)	%5	NA
69	R	icmp	=IF(%19 =  TRUE FALSE)	%19	NA
70	J	br	=BRANCH(%20)	%20	%21
71	I	store	=STORE(%7 )	%7	NA
72	J	br	=BRANCH(%42)	%42	NA
73	I	load	=LOAD(%4)	%4	NA
74	I	load	=LOAD(%5)	%5	NA
75	R	srem	=srem(%23 D75 )	%23	D75
76	R	icmp	=IF(%25 =  TRUE FALSE)	%25	NA
77	J	br	=BRANCH(%26)	%26	%27
78	I	load	=LOAD(%4)	%4	NA
79	I	load	=LOAD(%5)	%5	NA
80	R	sdiv	=sdiv(%28 D80 )	%28	D80
81	I	load	=LOAD(%5)	%5	NA
82	R	icmp	=IF(%30 = D82 TRUE FALSE)	%30	D82
83	J	br	=BRANCH(%32)	%32	%33
84	I	load	=LOAD(%5)	%5	NA
85	I	load	=LOAD(%4)	%4	NA
86	I	load	=LOAD(%5)	%5	NA
87	R	sdiv	=sdiv(%35 D87 )	%35	D87
88	I	call	=CALL(%34 %37) )	%34	%37)
89	R	add	=%38 + 	%38	NA
90	I	store	=STORE(%39 %7)	%39	%7
91	J	br	=BRANCH(%41)	%41	NA
92	I	store	=STORE(%7 )	%7	NA
93	J	br	=BRANCH(%41)	%41	NA
94	J	br	=BRANCH(%42)	%42	NA
95	I	load	=LOAD(%7)	%7	NA
96	I	load	=LOAD(%6)	%6	NA
97	R	add	=%43 + D97	%43	D97
98	I	store	=STORE(%45 %7)	%45	%7
99	J	br	=BRANCH(%46)	%46	NA
100	I	load	=LOAD(%5)	%5	NA
101	R	add	=%47 + 	%47	NA
102	I	store	=STORE(%48 %5)	%48	%5
103	J	br	=BRANCH(%9)	%9	NA
104	I	load	=LOAD(%7)	%7	NA
105	J	ret	=RET(D105)	D105	NA
106	I	}	=}(  )	NA	NA
